scraped_date,title,price,bed,bath,area,link
9/19/24,Residence 5 - 31 D,"Starting at $4,273",Studio,1 Bath,443 sq. ft.,https://19dutch.com/floorplans/residence-5-31-d/
9/19/24,Residence 33 - 50 C,"Starting at $4,735",Studio,1 Bath,451 sq. ft.,https://19dutch.com/floorplans/residence-33-50-c/
9/19/24,Residence 51 D,"Starting at $5,235",Studio,1 Bath,460 sq. ft.,https://19dutch.com/floorplans/residence-51-d/
9/19/24,Residence 33 - 50 D,"Starting at $4,652",Studio,1 Bath,484 sq. ft.,https://19dutch.com/floorplans/residence-33-50-d/
9/19/24,Residence 14 - 17 G,Call for Pricing,Studio,1 Bath,490 sq. ft.,https://19dutch.com/floorplans/residence-14-17-g/
9/19/24,Residence 5 - 31 B,"Starting at $4,702",Studio,1 Bath,491 - 492 sq. ft.,https://19dutch.com/floorplans/residence-5-31-b/
9/19/24,Residence 8 - 9 G,Call for Pricing,Studio,1 Bath,502 sq. ft.,https://19dutch.com/floorplans/residence-8-9-g/
9/19/24,Residence 36 - 51 G,Call for Pricing,Studio,1 Bath,512 sq. ft.,https://19dutch.com/floorplans/residence-36-51-g/
9/19/24,Residence 5 - 31 C,"Starting at $4,857",Studio,1 Bath,528 sq. ft.,https://19dutch.com/floorplans/residence-5-31-c/
9/19/24,Residence 32 B,Call for Pricing,Studio,1 Bath,558 sq. ft.,https://19dutch.com/floorplans/residence-32-b/
9/19/24,Residence 8 - 51 A,"Starting at $5,886",1 Bed,1 Bath,647 - 672 sq. ft.,https://19dutch.com/floorplans/residence-8-51-a/
9/19/24,Residence 36 - 51 H,"Starting at $6,676",1 Bed,1 Bath,675 sq. ft.,https://19dutch.com/floorplans/residence-36-51-h/
9/19/24,Residence 5 - 51 E,"Starting at $6,245",1 Bed,1 Bath,681 sq. ft.,https://19dutch.com/floorplans/residence-5-51-e/
9/19/24,Residence 47 - 51 F,"Starting at $5,916",1 Bed,1 Bath,690 sq. ft.,https://19dutch.com/floorplans/residence-47-51-f/
9/19/24,Residence 52- 61 D,Call for Pricing,1 Bed,1 Bath,692 sq. ft.,https://19dutch.com/floorplans/residence-52-61-d/
9/19/24,Residence 22 - 32 H,"Starting at $5,405",1 Bed,1 Bath,694 sq. ft.,https://19dutch.com/floorplans/residence-22-32-h/
9/19/24,Residence 52 - 60 E,Call for Pricing,1 Bed,1 Bath,711 - 729 sq. ft.,https://19dutch.com/floorplans/residence-52-60-e/
9/19/24,Residence 52 - 63 A,Call for Pricing,1 Bed,1 Bath,727 sq. ft.,https://19dutch.com/floorplans/residence-52-63-a/
9/19/24,Residence 33 - 51 B,"Starting at $5,753",1 Bed,1 Bath,740 sq. ft.,https://19dutch.com/floorplans/residence-33-51-b/
9/19/24,Residence 52 - 60 G,"Starting at $7,340",1 Bed,1 Bath + Den,752 sq. ft.,https://19dutch.com/floorplans/residence-52-60-g/
