layout,name,availability_stage,occupied,active,Date
1br,H25-5312,1,True,1,2024-08-10
1br,H25-3917,1,True,1,2024-08-10
1br,H25-1515,9,True,1,2024-08-10
1br,H25-2509,9,True,1,2024-08-10
1br,H25-3217,9,True,1,2024-08-10
1br,H25-2012,9,True,1,2024-08-10
1br,H25-2112,9,True,1,2024-08-10
1br,H25-0505,9,True,1,2024-08-10
1br,H25-2816,9,True,1,2024-08-10
1br,H25-4402,9,True,1,2024-08-10
1br,H25-2502,9,True,1,2024-08-10
2br,H25-3809,9,True,1,2024-08-10
2br,H25-2718,9,True,1,2024-08-10
2br,H25-4618,9,True,1,2024-08-10
2br,H25-1614,9,True,1,2024-08-10
2br,H25-2914,9,True,1,2024-08-10
2br,H25-0607,9,True,1,2024-08-10
2br,H25-2607,9,True,1,2024-08-10
2br,H25-2707,9,True,1,2024-08-10
2br,H25-3715,9,True,1,2024-08-10
2br,H25-4115,9,True,1,2024-08-10
2br,H25-5011,9,True,1,2024-08-10
3br,H25-4414,9,True,1,2024-08-10
3br,H25-4514,9,True,1,2024-08-10
3br,H25-1508,9,True,1,2024-08-10
studio,H25-3006,9,True,1,2024-08-10
studio,H25-5516,9,True,1,2024-08-10
studio,H25-3313,9,True,1,2024-08-10
studio,H25-3513,9,True,1,2024-08-10
studio,H25-1211,9,True,1,2024-08-10
studio,H25-1411,9,True,1,2024-08-10
studio,H25-2411,9,True,1,2024-08-10
studio,H25-2811,9,True,1,2024-08-10
studio,H25-1110,9,True,1,2024-08-10
studio,H25-2610,9,True,1,2024-08-10
studio,H25-2810,9,True,1,2024-08-10
studio,H25-0504,9,True,1,2024-08-10
studio,H25-3904,9,True,1,2024-08-10
studio,H25-3201,9,True,1,2024-08-10
1br,H25-4602,9,True,1,2024-08-10
1br,H25-0702,9,True,1,2024-08-10
studio,H25-0501,9,True,1,2024-08-10
studio,H25-1801,9,True,1,2024-08-10
2br,H25-3215,9,True,1,2024-08-10
studio,H25-3302,9,True,1,2024-08-10
studio,H25-3001,9,True,1,2024-08-10
studio,H25-1003,9,True,1,2024-08-10
studio,H25-1103,9,True,1,2024-08-10
studio,H25-1203,9,True,1,2024-08-10
studio,H25-2003,9,True,1,2024-08-10
2br,H25-5111,9,True,1,2024-08-10
studio,H25-5216,1,True,1,2024-08-10
1br,H25-2213,9,True,1,2024-08-10
studio,H25-1603,9,True,1,2024-08-10
studio,H25-4301,9,True,1,2024-08-10
1br,H25-1409,9,True,1,2024-08-10
1br,H25-1709,9,True,1,2024-08-10
1br,H25-2817,9,True,1,2024-08-10
1br,H25-5317,9,True,1,2024-08-10
1br,H25-3004,9,True,1,2024-08-10
1br,H25-2412,9,True,1,2024-08-10
1br,H25-1116,9,True,1,2024-08-10
2br,H25-5009,9,True,1,2024-08-10
2br,H25-5403,9,True,1,2024-08-10
2br,H25-1807,9,True,1,2024-08-10
2br,H25-2507,9,True,1,2024-08-10
studio,H25-2311,9,True,1,2024-08-10
1br,H25-2215,9,True,1,2024-08-10
1br,H25-1809,9,True,1,2024-08-10
1br,H25-4117,9,True,1,2024-08-10
1br,H25-2517,9,True,1,2024-08-10
1br,H25-3817,9,True,1,2024-08-10
1br,H25-4017,9,True,1,2024-08-10
1br,H25-2813,9,True,1,2024-08-10
1br,H25-2312,9,True,1,2024-08-10
1br,H25-4912,9,True,1,2024-08-10
1br,H25-1916,9,True,1,2024-08-10
1br,H25-4502,9,True,1,2024-08-10
1br,H25-1702,9,True,1,2024-08-10
2br,H25-3911,9,True,1,2024-08-10
2br,H25-4003,9,True,1,2024-08-10
2br,H25-5501,9,True,1,2024-08-10
2br,H25-2018,9,True,1,2024-08-10
2br,H25-3418,9,True,1,2024-08-10
2br,H25-4818,9,True,1,2024-08-10
2br,H25-3706,9,True,1,2024-08-10
2br,H25-4306,9,True,1,2024-08-10
2br,H25-4805,9,True,1,2024-08-10
2br,H25-5615,9,True,1,2024-08-10
studio,H25-4002,9,True,1,2024-08-10
studio,H25-3916,9,True,1,2024-08-10
studio,H25-4213,9,True,1,2024-08-10
studio,H25-1611,9,True,1,2024-08-10
studio,H25-2510,9,True,1,2024-08-10
studio,H25-2901,9,True,1,2024-08-10
1br,H25-0405,9,True,1,2024-08-10
2br,H25-5105,1,True,1,2024-08-10
2br,H25-3106,1,True,1,2024-08-10
2br,H25-2907,1,False,1,2024-08-10
2br,H25-3615,1,True,1,2024-08-10
studio,H25-4302,0,False,1,2024-08-10
studio,H25-4001,1,True,1,2024-08-10
1br,H25-3112,9,True,1,2024-08-10
1br,H25-3712,9,True,1,2024-08-10
1br,H25-4012,9,True,1,2024-08-10
1br,H25-4903,9,True,1,2024-08-10
1br,H25-1015,9,True,1,2024-08-10
1br,H25-1215,9,True,1,2024-08-10
1br,H25-1415,9,True,1,2024-08-10
1br,H25-1615,9,True,1,2024-08-10
1br,H25-2015,9,True,1,2024-08-10
1br,H25-1109,9,True,1,2024-08-10
1br,H25-1509,9,True,1,2024-08-10
1br,H25-1909,9,True,1,2024-08-10
