scraped_date,title,price,availability,area,link
9/14/2024,Residence 219,"$3,520 ",Available Now,Residence 219,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
9/14/2024,Residence 412,"$3,905 ",Available Now,Residence 412,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
9/14/2024,Residence 608,"$3,990 ",Available 9/27/24,Residence 608,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
9/14/2024,Residence 722,"$4,385 ",Available 9/27/24,Residence 722,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
9/14/2024,Residence 423,"$4,395 ",Available Now,Residence 423,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
9/14/2024,Residence 211,"$4,445 ",Available Now,Residence 211,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
9/14/2024,Residence 511,"$4,460 ",Available 9/21/24,Residence 511,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
9/14/2024,Residence 1523,"$4,510 ",Available 9/15/24,Residence 1523,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1523/
9/14/2024,Residence 1020,"$5,215 ",Available 9/18/24,Residence 1020,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
9/14/2024,Residence 820,"$5,250 ",Available 10/1/24,Residence 820,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
9/14/2024,Residence 507,"$5,275 ",Available 9/27/24,Residence 507,beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
9/14/2024,Residence 1204,"$5,330 ",Available Now,Residence 1204,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
9/14/2024,Residence 1621,"$5,410 ",Available Now,Residence 1621,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
9/14/2024,Residence 904,"$5,480 ",Available 9/27/24,Residence 904,beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
9/14/2024,Residence 415,"$5,595 ",Available 9/20/24,Residence 415,beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
9/14/2024,Residence 515,"$5,645 ",Available 10/4/24,Residence 515,beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
9/14/2024,Residence 402,"$5,760 ",Available Now,Residence 402,beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
9/14/2024,Residence 226,"$6,380 ",Available 10/5/24,Residence 226,beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
9/14/2024,Residence 1625,"$7,075 ",Available 9/25/24,Residence 1625,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
9/14/2024,Residence 2125,"$7,100 ",Available 10/6/24,Residence 2125,beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2024-09-15,Residence 219,"$3,520",Available Now,Residence 219,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-15,Residence 412,"$3,900",Available Now,Residence 412,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
